aa	ɑː
aada	ɑːdɑ
aadolf	ɑːdolf
aake	ɑːke
aakkonen	ɑːkːo̞ne̞n
aakkosellinen	ɑːkːo̞s̠e̞lːine̞n
aakkosellisuuden	ɑːkːoselːisuːden
aakkosen	ɑːkːosen
aakkoset	ɑːkːo̞s̠e̞t̪
aakkosjärjestys	ɑːkːo̞s̠jærje̞s̠t̪ys̠
aakkoslukko	ɑːkːo̞s̠lukːo̞
aakkosnimi	ɑːkːo̞s̠nimi
aakkosta	ɑːkːostɑ
aakkosta	ɑːkːostɑʔ
aakkostaa	ɑːkːo̞s̠t̪ɑːʔ
aakkoston	ɑːkːoston
aakkostuksen	ɑːkːostuksen
aalloittaisuuden	ɑːlːot̪ːɑisuːden
aallokas	ɑːlːo̞kɑs
aallokkoinen	ɑːlːo̞kko̞i̯ne̞n
aallonmurtaja	ɑːlːo̞nmurt̪ɑjɑ
aallot	ɑːlːo̞t̪
aallota	ɑːlːo̞t̪ɑˣ
aallotar	ɑːlːotɑr
aallottaa	ɑːlːo̞t̪ːɑːˣ
aallotuskartonki	ɑːlːo̞t̪us̠kɑrt̪o̞ŋki
aaloe	ɑːlo̞e̞
aalto	ɑːlt̪o̞
aaltoa	ɑːltoɑ
aaltoa	ɑːltoɑˣ
aaltoileminen	ɑːlt̪o̞i̯le̞mine̞n
aaltoileva	ɑːlt̪o̞i̯le̞ʋɑ
aaltoilla	ɑːlt̪o̞i̯lːɑʔ
aaltoimpedanssi	ɑːlt̪o̞impe̞dɑns̠ːi
aaltonauha	ɑːlt̪o̞nɑu̯ɦɑ
aaltopaketti	ɑːlt̪o̞pɑke̞t̪ːi
aaltoryhmä	ɑːlt̪o̞ryçmæ
aaltoviiva	ɑːlt̪o̞ʋiːʋɑ
aaltovoima	ɑːlto̞ʋo̞imɑ
aami	ɑːmi
aamiainen	ɑːmiɑi̯ne̞n
aamiaistaa	ɑːmiɑistɑːˣ
aamu	ɑːmu
aamu	ɑːmu
aamuhämärä	ɑːmuhæmæræ
aamukaksi	ɑːmukɑks̠i
aamukaksitoista	ɑːmukɑks̠it̪o̞i̯s̠t̪ɑ
aamukolme	ɑːmuko̞lme̞
aamukuusi	ɑːmukuːs̠i
aamukymmenen	ɑːmukymːe̞ne̞n
aamulepakko	ɑːmule̞pɑkːo̞
aamuneljä	ɑːmune̞ljæ
aamupala	ɑːmupɑlɑ
aamupesu	ɑːmupe̞s̠u
aamupäivä	ɑːmupæi̯ʋæ
aamuseitsemän	ɑːmus̠e̞i̯ts̠e̞mæn
aamutee	ɑːmut̪e̞ː
aamutyö	ɑːmut̪yø̞̯
aamutähti	ɑːmut̪æht̪i
aamuviisi	ɑːmuʋiːs̠i
aamuvuoro	ɑːmuʋuɔro̞
aamuyhdeksän	ɑːmuyçde̞ks̠æn
aamuyksi	ɑːmuyks̠i
aamuyksitoista	ɑːmuyks̠it̪o̞i̯s̠t̪ɑ
aamuyö	ɑːmuyø̞̯
aapasara	ɑːpɑs̠ɑrɑ
aapeli	ɑːpeli
aapinen	ɑːpine̞n
aapo	ɑːpo̞
aappo	ɑːpːo
aaretti	ɑːre̞t̪ːi
aari	ɑːri
aaria	ɑːriɑ
aarne	ɑːrne̞
aarni	ɑːrni
aarnikotka	ɑːrniko̞t̪kɑ
aarno	ɑːrno
aaro	ɑːro
aaron	ɑːro̞n
aarre	ɑːrːe̞ʔ
aarre	ɑːrːe̞ʔ
aarrearkku	ɑːrːe̞ʔɑrkːu
aarrelöytö	ɑːrːe̞llø̞y̯t̪ø̞
aarresaari	ɑːrːe̞sːɑːri
aasa	ɑːs̠ɑ
aasi	ɑːs̠i
aasia	ɑːs̠iɑ
aasitamma	ɑːs̠it̪ɑmːɑ
aatami	ɑːt̪ɑmi
aate	ɑːt̪e̞ˣ
aateli	ɑːt̪e̞li
aatelinen	ɑːt̪e̞line̞n
aatelismies	ɑːt̪e̞lismie̞s
aatelisnainen	ɑːt̪e̞lisnɑine̞n
aateloiminen	ɑːt̪e̞lo̞i̯mine̞n
aatelointi	ɑːt̪e̞lo̞in̪t̪i
aato	ɑːt̪o̞
aatos	ɑːtos
aatra	ɑːt̪rɑ
aatto	ɑːt̪ːo̞
aatto	ɑːtːo
aava	ɑːʋɑ
aave	ɑːʋe̞ʔ
aavikko	ɑːʋikːo̞
aavikkolokki	ɑːʋikːo̞lo̞kːi
aavikoituminen	ɑːʋikoituminen
aavistaminen	ɑːʋis̠t̪ɑmine̞n
aavisteleminen	ɑːʋis̠t̪e̞le̞mine̞n
aavistus	ɑːʋis̠t̪us̠
abakus	ɑbɑkus̠
abbedissa	ɑːbːedisːɑ
