a	a
a	ɐ
à	a
á	a
â	ɐ
â	ɐ̃
ã	ɐ̃
aba	aβɐ
abacate	ɐβɐkatɨ
abacateiro	ɐbakɐtɐjɾu
abacaxi	ɐbɐkɐʃi
abacaxizeiro	ɐbɐkɐʃizɐjɾu
abacharelado	ɐbɐʃɐɾɘladu
abacial	ɐbɐsial
abacista	ɐbasiʃtɐ
ábaco	abɐku
abactor	ɐbɐktoɾ
abade	ɐbadɨ
abadesa	abadeza
abadessa	abɐdesɐ
abadia	ɐbɐdiɐ
abafação	ɐbɐfɐsɐ̃w̃
abafada	ɐbɐfadɐ
abafadamente	ɐbɐfadɐmẽtɨ
abafadiço	ɐbɐfɐdisu
abafado	ɐbɐfadu
abafador	ɐbɐfɐdoɾ
abafar	ɐbɐfaɾ
abaixamento	ɐbajʃɐmẽtu
abaixar	ɐbɐjʃaɾ
abaixo	ɐbajʃu
abajur	abɐʒuɾ
abalado	ɐbɐladu
abalar	ɐbɐlaɾ
abalava	ɐbɐlavɐ
abalizado	ɐbɐlizadu
abalou	ɐbɐlow
abanar	ɐbɐnaɾ
abandonada	ɐβɐ̃dunaðɐ
abandonado	ɐβɐ̃dunaðu
abandonar	ɐbɐ̃dunaɾ
abandonara	ɐβɐ̃dunaɾɐ
abandonará	ɐβɐ̃dunɐɾa
abandono	ɐβɐ̃donu
abandono	ɐβɐ̃dɔnu
abas	aβɐʃ
abastado	ɐβɐʃtaðu
abastar	ɐβɐʃtaɾ
abastecer	ɐβɐʃtɨseɾ
abater	ɐbɐteɾ
abatimento	ɐβɐtimẽtu
abaxial	ɐβɐksjal
abdicar	ɐβðikaɾ
abdicar	ɐbdikaɾ
abdómen	ɐbdɔmɛn
abdominal	aβðomɪnaɫ
abduzir	aβðuziɾ
abel	abɛɫ
abelha	ɐβeʎɐ
abelha	ɐβɐʎɐ
abelha	ɐβɐjʎɐ
abençoado	ɐβẽswaðu
abençoar	ɐβẽswaɾ
aberta	ɐβɛɾtɐ
abertas	ɐβɛɾtɐʃ
aberto	ɐbɛɾtu
abertos	ɐβɛɾtuʃ
abertura	ɐβɨɾtuɾɐ
abeto	ɐβɛtu
abismar	ɐβiʒmaɾ
abismo	ɐβiʒmu
abjeção	ɐbʒɛsɐ̃w̃
abjeto	ɐbʒɛtu
abóbada	ɐβɔβɐðɐ
abobadar	ɐβuβɐðaɾ
abobado	abobadu
abóbeda	ɐβɔβɨðɐ
abóbora	ɐβɔβuɾɐ
abolição	ɐβulisɐ̃w̃
abominação	ɐβuminɐsɐ̃w̃
abominar	ɐβuminaɾ
abomináveis	ɐβuminavɛʃ
abominável	ɐβuminavɛɫ
abondança	ɐβõdɐ̃sɐ
aborígene	ɐβuɾiʒɨnɨ
abotoar	ɐbutwaɾ
abraçar	ɐbɾɐsaɾ
abraço	ɐβɾasu
abrandamento	ɐβɾɐ̃dɐmẽtu
abrangência	abɾɐ̃ʒẽsja
abranger	ɐβɾɐ̃ʒeɾ
abrantes	ɐβɾɐ̃tɨʃ
abria	ɐβɾiɐ
abricó	abɾikɔ
abrigado	ɐβɾiɣaðu
abrigar	ɐbɾiɡaɾ
abrigo	ɐβɾiɣu
abril	ɐbɾil
abrindo	ɐβɾĩdu
abrir	ɐβɾiɾ
abriu	ɐβɾiw
abrupto	ɐβɾuptu
absolutamente	ɐbsulutɐmẽtɨ
absoluto	ɐbsulutu
absonância	absonɐ̃sja
abstenção	ɐbʃtẽsɐ̃w̃
abstrair	ɐβʃtɾɐiɾ
absurdo	ɐbsuɾðu
abundância	ɐbũdɐ̃sjɐ
abundante	ɐbũdɐ̃tɨ
abundar	ɐbũdaɾ
abusar	ɐβuzaɾ
abusar	ɐbuzaɾ
abutre	ɐβutɾɨ
acaba	ɐkaβɐ
acabado	ɐkɐβaðu
acabando	ɐkɐβɐ̃du
acabava	ɐkɐβavɐ
acabou	ɐkɐβow
açacalar	ɐsɐkɐlaɾ
academia	ɐkɐðɨmiɐ
académico	ɐkɐdɛmiku
açafrão	ɐsɐfɾɐ̃w̃
acaju	akaʒu
acalmar	ɐkaɫmaɾ
acamado	ɐkɐmaðu
acampamento	ɐkɐ̃pɐmẽtu
acampar	ɐkɐ̃paɾ
acanhado	ɐkɐɲadu
ação	asɐ̃w̃
acarretar	ɐkɐʁɨtaɾ
acartar	ɐkɐɾtaɾ
acaso	ɐkazu
aceder	ɐsɨðeɾ
aceitação	əsetəsə̃ʊ
aceitações	əsetəsʊ̃ɪʃ
aceitar	ɐsɐjtaɾ
aceitar	ɐsejtaɾ
acelerador	ɐsɨlɨɾɐðoɾ
acelerar	ɐsɨlɨɾaɾ
acendendo	ɐsẽdẽdu
acender	ɐsẽdeɾ
aceno	ɐsenu
acento	ɐsẽtu
acercar	ɐsɨɾkaɾ
acertar	ɐsɨɾtaɾ
acerto	aseɾtu
acerto	aseʁtu
acerto	asɛɾtu
acerto	asɛʁtu
aceso	ɐsezu
acessar	ɐsɨsaɾ
acesso	ɐsɛsu
acetato	ɐsɨtatu
acha	aʃɐ
achado	ɐʃaðu
achando	ɐʃɐ̃du
achaparrado	aʃapaʁadu
achaparrar	aʃapaʁaɾ
achaque	ɐʃakɨ
achar	ɐʃaɾ
achava	ɐʃavɐ
acho	aʃu
achou	ɐʃow
acidentalmente	əsidɪ̃təlmɛ̃t̪
acidente	ɐsidẽtɨ
ácido	asidu
acima	ɐsimɐ
aclarar	ɐklɐɾaɾ
aço	asu
açoite	ɐsojtɨ
acolhedor	ɐkuʎɨðoɾ
acolher	ɐkuʎeɾ
acolhimento	ɐkuʎimẽtu
acomete	akomɛtʃi
acompanhado	ɐkõpɐɲaðu
acompanhar	ɐkõpɐɲaɾ
aconchego	ɐkõʃeɣu
aconselhada	ɐkõsɨʎaðɐ
aconselhado	ɐkõsɨʎaðu
aconselhar	ɐkõsɨʎaɾ
acontecer	ɐkõtɨseɾ
acontecimento	ɐkõtɨsimẽtu
açor	ɐsoɾ
açorda	ɐsoɾðɐ
acordado	ɐkuɾðaðu
acordar	ɐkuɾdaɾ
acordo	ɐkoɾðu
acordo	ɐkɔɾðu
acostumado	ɐkuʃtumaðu
acostumar	ɐkuʃtumaɾ
açougue	ɐsowɣɨ
acre	akɾɨ
acreditar	ɐkɾɨðitaɾ
acrescentar	ɐkɾɨʃsẽtaɾ
acrescentou	ɐkɾɨʃsẽtow
acrescer	ɐkɾɨʃseɾ
acrograma	akɾoɡɾɐ̃mɐ
actuação	ɐtwɐsɐ̃w̃
açúcar	ɐsukɐɾ
açucena	ɐsusenɐ
açude	ɐsuðɨ
acudir	ɐkuðiɾ
acudiu	ɐkuðiw
açular	ɐsulaɾ
acúmulo	ɐkumulu
acúmulo	akumulu
acurácia	akuɾasja
acusado	ɐkuzaðu
acusar	ɐkuzaɾ
adamastor	ɐðɐmɐʃtoɾ
adão	ɐðɐ̃w̃
adaptação	ɐðɐptɐsɐ̃w̃
adega	ɐðɛɣɐ
adélio	adɛlju
adelo	ɐðɛlu
adentrar	adẽtɾaʁ
aderência	adɨɾɐ̃j̃sjə
adesão	ɐðɨzɐ̃w̃
adiantar	ɐdjɐ̃taɾ
adiante	ɐðjɐ̃tɨ
adiantou	ɐdjɐ̃tow
adicionar	ɐðisjunaɾ
ádito	aðitu
administrador	ɐdminiʃtɾɐdoɾ
admiração	ɐdmiɾɐsɐ̃w̃
admirador	ɐðmiɾɐdoɾ
admirar	ɐdmiɾaɾ
admitir	ɐdmitiɾ
adoçante	aðusɐ̃tɨ
adoção	ɐðɔsɐ̃w̃
adoçar	ɐðusaɾ
adoecer	ɐðwɨseɾ
adoecer	ɐðuɨseɾ
adoração	əduɾəsə̃ʊ
adorar	ɐðuɾaɾ
adorável	ɐðuɾavɛɫ
adormecido	ɐðuɾmɨsiðu
adornar	ɐðuɾnaɾ
adorno	ɐðoɾnu
adorno	ɐðɔɾnu
adrede	ɐðɾeðɨ
adscrito	ɐðɨʃkɾitu
aduela	ɐdwɛlɐ
adufe	ɐðufɨ
adulto	ɐðuɫtu
advérbio	adʒivɛɦbɪʊ
adversário	ɐdvɨɾsaɾju
adverso	ɐdvɛɾsu
aéreo	ɐɛɾju
aeroporto	ɐɛɾɔpoɾtu
afã	ɐfɐ̃
afastado	ɐfɐʃtaðu
afastar	ɐfɐʃtaɾ
afável	ɐfavɛɫ
afeição	ɐfɐjsɐ̃w
afete	afɛtʃi
afeto	ɐfɛtu
afiar	ɐfjaɾ
afinar	ɐfinaɾ
afinidade	ɐfiniðaðɨ
afirmar	ɐfiɾmaɾ
aflição	ɐflisɐ̃w̃
aflita	ɐflitɐ
aflito	ɐflitu
afoito	afojtu
afonso	ɐfõsu
afora	ɐfɔɾɐ
afortunadamente	ɐfuɾtunaðɐmẽtɨ
africano	ɐfɾikɐnu
afrontar	ɐfɾõtaɾ
afta	afta
afta	aftɐ
afta	afitɐ
agá	ɐɣa
agachar	ɐɡaʃaɾ
agadá	ɐɣɐða
agami	ɐɣɐmi
agasalhar	ɐɣɐzɐʎaɾ
agasalho	ɐɣɐzaʎu
agência	ɐʒẽsjɐ
agiota	ɐʒjɔtɐ
agiotagem	ɐʒjutaʒɐ̃j̃
agir	ɐʒiɾ
agitação	ɐʒitɐsɐ̃w̃
agitadamente	ɐʒitaðɐmẽtɨ
agitado	ɐʒitaðu
agitar	ɐʒitaɾ
agoiro	ɐɣojɾu
agoiros	ɐɣojɾuʃ
agora	ɐɡɔɾɐ
agosto	ɐɡoʃtu
agoural	ɐɣowɾaɫ
agourar	ɐɡowɾaɾ
agouro	ɐɡowɾu
agouros	ɐɣowɾuʃ
agradar	ɐɡɾɐdaɾ
agradara	ɐɣɾɐðaɾɐ
agradável	ɐɣɾɐðavɛɫ
agrafador	ɐɡɾɐfɐdoɾ
agrafo	ɐɡɾafu
ágrafo	aɣɾɐfu
agreste	ɐɣɾɛʃtɨ
agrupamento	ɐɣɾupɐmẽtu
agrupar	ɐɣɾupaɾ
água	aɡwɐ
aguadeiro	aɡwɐdɐjɾu
aguante	ɐɣwɐ̃tɨ
aguar	ɐɡwaɾ
aguardente	aɣwaɾðẽtɨ
águas	aɡwəʃ
aguça	ɐɣusɐ
aguçar	ɐɣusaɾ
agudo	ɐɣuðu
águeda	aɡɨdɐ
aguerrido	aɡeʁidu
aguerrido	aɡeridu
águia	aɣjɐ
águia	aɣiɐ
aguião	ɐɣjɐ̃w̃
ah	a
aí	ɐi
ainda	ɐĩdɐ
aio	aju
airoso	ajɾozu
aja	aʒɐ
ajoelhar	ɐʒwɨʎaɾ
ajuda	ɐʒuðɐ
ajudante	ɐʒuðɐ̃tɨ
ajudar	ɐʒuðaɾ
ajuntamento	ɐʒũtɐmẽtu
ajuntar	ɐʒũtaɾ
ajustado	ɐʒuʃtaðu
ajustar	ɐʒuʃtaɾ
ajuste	ɐʒuʃtɨ
al	aɫ
ala	alɐ
alabarda	alɐbaɾdɐ
alabarda	alɐbaɾðɐ
alambique	ɐlɐ̃bikɨ
alameda	ɐlɐmeðɐ
alameda	ɐlɐmɛðɐ
alandroal	ɐlɐ̃dɾuaɫ
alapar	ɐlɐpaɾ
alar	ɐlaɾ
alargar	ɐlɐɾɣaɾ
alarve	ɐlaɾvɨ
albânia	aɫβɐniɐ
albânia	aɫβɐnjɐ
albufeira	ɐɫβufɐjɾɐ
álbum	aɫβũ
alça	aɫsɐ
alcácer	aɫkasɛɾ
alcachofra	aɫkɐʃofɾɐ
alcáçova	aɫkasuvɐ
alcalinidade	ɐɫkɐlinidaðɨ
alcaloide	aɫkɐlɔjdɨ
alcançar	aɫkɐ̃saɾ
alcanço	aɫkɐ̃su
alcanena	ɐɫkɐnenɐ
alçar	aɫsaɾ
alcateia	aɫkɐtɐjɐ
alcateia	aɫkɐtejɐ
alcateia	aɫkɐtɐjɐ
alcateia	aɫkɐtejɐ
alcatifa	aɫkɐtifɐ
alcatrão	aɫkɐtɾɐ̃w
alcobaça	ɐɫkuβasɐ
alcochete	ɐɫkuʃetɨ
álcool	alkwɔl
alcoutim	ɐɫkowtĩ
alcova	aɫkovɐ
alcunha	aɫkuɲɐ
aldeia	aɫdɐjɐ
aldeia	aɫdejɐ
aldraba	aɫdɾaβɐ
alecrim	ɐlɨkɾĩ
alegação	ɐlɨɣɐsɐ̃w̃
alegadamente	ɐlɨɣaðɐmẽtɨ
